"산업별","산업별 지수","제조업"
"2013.02","생산능력지수","92.594"
"","가동률지수(원지수)","96.414"
"","가동률지수(계절조정)","109.206"
"2013.03","생산능력지수","92.594"
"","가동률지수(원지수)","110.383"
"","가동률지수(계절조정)","108.214"
"2013.04","생산능력지수","92.594"
"","가동률지수(원지수)","111.177"
"","가동률지수(계절조정)","108.41"
"2013.05","생산능력지수","92.764"
"","가동률지수(원지수)","112.881"
"","가동률지수(계절조정)","107.49"
"2013.06","생산능력지수","92.936"
"","가동률지수(원지수)","109.361"
"","가동률지수(계절조정)","107.399"
"2013.07","생산능력지수","93.022"
"","가동률지수(원지수)","107.43"
"","가동률지수(계절조정)","104.307"
"2013.08","생산능력지수","93.279"
"","가동률지수(원지수)","103.001"
"","가동률지수(계절조정)","106.364"
"2013.09","생산능력지수","93.279"
"","가동률지수(원지수)","98.8"
"","가동률지수(계절조정)","103.313"
"2013.10","생산능력지수","93.449"
"","가동률지수(원지수)","113.221"
"","가동률지수(계절조정)","107.997"
"2013.11","생산능력지수","93.535"
"","가동률지수(원지수)","111.518"
"","가동률지수(계절조정)","107.812"
"2013.12","생산능력지수","93.878"
"","가동률지수(원지수)","110.042"
"","가동률지수(계절조정)","108.656"
"2014.01","생산능력지수","94.05"
"","가동률지수(원지수)","104.364"
"","가동률지수(계절조정)","110.725"
"2014.02","생산능력지수","93.878"
"","가동률지수(원지수)","99.481"
"","가동률지수(계절조정)","109.321"
"2014.03","생산능력지수","93.964"
"","가동률지수(원지수)","112.54"
"","가동률지수(계절조정)","110.365"
"2014.04","생산능력지수","93.878"
"","가동률지수(원지수)","113.221"
"","가동률지수(계절조정)","110.593"
"2014.05","생산능력지수","94.135"
"","가동률지수(원지수)","108.566"
"","가동률지수(계절조정)","105.287"
"2014.06","생산능력지수","94.306"
"","가동률지수(원지수)","107.998"
"","가동률지수(계절조정)","107.922"
"2014.07","생산능력지수","94.563"
"","가동률지수(원지수)","112.086"
"","가동률지수(계절조정)","108.837"
"2014.08","생산능력지수","94.821"
"","가동률지수(원지수)","98.572"
"","가동률지수(계절조정)","103.457"
"2014.09","생산능력지수","95.077"
"","가동률지수(원지수)","101.07"
"","가동률지수(계절조정)","103.851"
"2014.10","생산능력지수","95.163"
"","가동률지수(원지수)","108.907"
"","가동률지수(계절조정)","104.001"
"2014.11","생산능력지수","95.163"
"","가동률지수(원지수)","106.749"
"","가동률지수(계절조정)","105.016"
"2014.12","생산능력지수","95.334"
"","가동률지수(원지수)","110.837"
"","가동률지수(계절조정)","107.257"
"2015.01","생산능력지수","94.656"
"","가동률지수(원지수)","104.197"
"","가동률지수(계절조정)","105.442"
"2015.02","생산능력지수","94.656"
"","가동률지수(원지수)","92.865"
"","가동률지수(계절조정)","106.903"
"2015.03","생산능력지수","94.943"
"","가동률지수(원지수)","108.185"
"","가동률지수(계절조정)","104.318"
"2015.04","생산능력지수","94.943"
"","가동률지수(원지수)","107.345"
"","가동률지수(계절조정)","104.999"
"2015.05","생산능력지수","95.038"
"","가동률지수(원지수)","103.358"
"","가동률지수(계절조정)","102.128"
"2015.06","생산능력지수","95.324"
"","가동률지수(원지수)","108.08"
"","가동률지수(계절조정)","104.469"
"2015.07","생산능력지수","95.324"
"","가동률지수(원지수)","106.191"
"","가동률지수(계절조정)","103.151"
"2015.08","생산능력지수","95.42"
"","가동률지수(원지수)","99.056"
"","가동률지수(계절조정)","105.685"
"2015.09","생산능력지수","95.706"
"","가동률지수(원지수)","104.827"
"","가동률지수(계절조정)","107.354"
"2015.10","생산능력지수","95.992"
"","가동률지수(원지수)","110.178"
"","가동률지수(계절조정)","105.635"
"2015.11","생산능력지수","96.469"
"","가동률지수(원지수)","107.03"
"","가동률지수(계절조정)","105.215"
"2015.12","생산능력지수","96.469"
"","가동률지수(원지수)","107.87"
"","가동률지수(계절조정)","104.114"
"2016.01","생산능력지수","96.374"
"","가동률지수(원지수)","100.735"
"","가동률지수(계절조정)","103.721"
"2016.02","생산능력지수","95.992"
"","가동률지수(원지수)","92.865"
"","가동률지수(계절조정)","105.021"
"2016.03","생산능력지수","96.374"
"","가동률지수(원지수)","108.709"
"","가동률지수(계절조정)","104.763"
"2016.04","생산능력지수","96.469"
"","가동률지수(원지수)","103.463"
"","가동률지수(계절조정)","103.238"
"2016.05","생산능력지수","96.66"
"","가동률지수(원지수)","107.03"
"","가동률지수(계절조정)","105.843"
"2016.06","생산능력지수","97.042"
"","가동률지수(원지수)","108.395"
"","가동률지수(계절조정)","104.844"
"2016.07","생산능력지수","97.519"
"","가동률지수(원지수)","105.142"
"","가동률지수(계절조정)","103.936"
"2016.08","생산능력지수","97.71"
"","가동률지수(원지수)","98.321"
"","가동률지수(계절조정)","101.198"
"2016.09","생산능력지수","98.092"
"","가동률지수(원지수)","99.37"
"","가동률지수(계절조정)","101.965"
"2016.10","생산능력지수","98.473"
"","가동률지수(원지수)","104.932"
"","가동률지수(계절조정)","100.43"
"2016.11","생산능력지수","98.664"
"","가동률지수(원지수)","109.129"
"","가동률지수(계절조정)","105.437"
"2016.12","생산능력지수","98.76"
"","가동률지수(원지수)","108.709"
"","가동률지수(계절조정)","102.742"
"2017.01","생산능력지수","97.71"
"","가동률지수(원지수)","98.846"
"","가동률지수(계절조정)","107.1"
"2017.02","생산능력지수","97.424"
"","가동률지수(원지수)","97.377"
"","가동률지수(계절조정)","104.451"
"2017.03","생산능력지수","97.805"
"","가동률지수(원지수)","109.864"
"","가동률지수(계절조정)","105.858"
"2017.04","생산능력지수","97.901"
"","가동률지수(원지수)","103.568"
"","가동률지수(계절조정)","103.584"
"2017.05","생산능력지수","98.092"
"","가동률지수(원지수)","104.617"
"","가동률지수(계절조정)","103.626"
"2017.06","생산능력지수","98.092"
"","가동률지수(원지수)","105.352"
"","가동률지수(계절조정)","102.018"
"2017.07","생산능력지수","98.282"
"","가동률지수(원지수)","104.302"
"","가동률지수(계절조정)","103.301"
"2017.08","생산능력지수","98.569"
"","가동률지수(원지수)","100"
"","가동률지수(계절조정)","102.801"
"2017.09","생산능력지수","99.046"
"","가동률지수(원지수)","108.185"
"","가동률지수(계절조정)","103.107"
"2017.10","생산능력지수","99.237"
"","가동률지수(원지수)","97.901"
"","가동률지수(계절조정)","104.219"
"2017.11","생산능력지수","99.427"
"","가동률지수(원지수)","106.925"
"","가동률지수(계절조정)","103.243"
"2017.12","생산능력지수","99.237"
"","가동률지수(원지수)","101.889"
"","가동률지수(계절조정)","99.442"
"2018.01","생산능력지수","97.71"
"","가동률지수(원지수)","102.413"
"","가동률지수(계절조정)","103.616"
"2018.02","생산능력지수","97.615"
"","가동률지수(원지수)","90.451"
"","가동률지수(계절조정)","103.873"
"2018.03","생산능력지수","97.424"
"","가동률지수(원지수)","106.401"
"","가동률지수(계절조정)","102.416"
"2018.04","생산능력지수","97.519"
"","가동률지수(원지수)","104.932"
"","가동률지수(계절조정)","105.133"
"2018.05","생산능력지수","97.615"
"","가동률지수(원지수)","107.03"
"","가동률지수(계절조정)","106.128"
"2018.06","생산능력지수","98.092"
"","가동률지수(원지수)","106.086"
"","가동률지수(계절조정)","104.579"
"2018.07","생산능력지수","98.473"
"","가동률지수(원지수)","105.352"
"","가동률지수(계절조정)","104.598"
"2018.08","생산능력지수","98.569"
"","가동률지수(원지수)","102.308"
"","가동률지수(계절조정)","105.009"
"2018.09","생산능력지수","99.046"
"","가동률지수(원지수)","98.741"
"","가동률지수(계절조정)","102.747"
"2018.10","생산능력지수","99.141"
"","가동률지수(원지수)","109.759"
"","가동률지수(계절조정)","105.373"
"2018.11","생산능력지수","99.332"
"","가동률지수(원지수)","106.821"
"","가동률지수(계절조정)","103.091"
"2018.12","생산능력지수","99.141"
"","가동률지수(원지수)","103.882"
"","가동률지수(계절조정)","101.188"
"2019.01","생산능력지수","98.569"
"","가동률지수(원지수)","101.574"
"","가동률지수(계절조정)","102.984"
"2019.02","생산능력지수","98.187"
"","가동률지수(원지수)","86.149"
"","가동률지수(계절조정)","98.476"
"2019.03","생산능력지수","98.378"
"","가동률지수(원지수)","103.148"
"","가동률지수(계절조정)","100.891"
"2019.04","생산능력지수","97.805"
"","가동률지수(원지수)","104.827"
"","가동률지수(계절조정)","103.48"
"2019.05","생산능력지수","97.901"
"","가동률지수(원지수)","106.925"
"","가동률지수(계절조정)","102.541"
"2019.06","생산능력지수","97.901"
"","가동률지수(원지수)","103.673"
"","가동률지수(계절조정)","102.292"
"2019.07","생산능력지수","98.187"
"","가동률지수(원지수)","108.814"
"","가동률지수(계절조정)","106.363"
"2019.08","생산능력지수","97.996"
"","가동률지수(원지수)","100.63"
"","가동률지수(계절조정)","103.143"
"2019.09","생산능력지수","98.187"
"","가동률지수(원지수)","101.574"
"","가동률지수(계절조정)","105.758"
"2019.10","생산능력지수","98.664"
"","가동률지수(원지수)","108.709"
"","가동률지수(계절조정)","104.316"
"2019.11","생산능력지수","100.095"
"","가동률지수(원지수)","105.876"
"","가동률지수(계절조정)","102.185"
"2019.12","생산능력지수","100"
"","가동률지수(원지수)","107.555"
"","가동률지수(계절조정)","104.625"
"2020.01","생산능력지수","99.1"
"","가동률지수(원지수)","95.1"
"","가동률지수(계절조정)","103.3"
"2020.02","생산능력지수","99.2"
"","가동률지수(원지수)","93.3"
"","가동률지수(계절조정)","97.9"
"2020.03","생산능력지수","99.7"
"","가동률지수(원지수)","107.3"
"","가동률지수(계절조정)","103"
"2020.04","생산능력지수","99"
"","가동률지수(원지수)","96.1"
"","가동률지수(계절조정)","98.3"
"2020.05","생산능력지수","99.5"
"","가동률지수(원지수)","91.5"
"","가동률지수(계절조정)","89.4"
"2020.06","생산능력지수","99.7"
"","가동률지수(원지수)","99"
"","가동률지수(계절조정)","96"
"2020.07","생산능력지수","99.8"
"","가동률지수(원지수)","100.7"
"","가동률지수(계절조정)","98.6"
"2020.08","생산능력지수","99.9"
"","가동률지수(원지수)","93.4"
"","가동률지수(계절조정)","98.8"
"2020.09","생산능력지수","100.9"
"","가동률지수(원지수)","106.2"
"","가동률지수(계절조정)","103.6"
"2020.10","생산능력지수","100.9"
"","가동률지수(원지수)","102.8"
"","가동률지수(계절조정)","103.5"
"2020.11","생산능력지수","100.8"
"","가동률지수(원지수)","105.6"
"","가동률지수(계절조정)","103.6"
"2020.12","생산능력지수","101.5"
"","가동률지수(원지수)","109"
"","가동률지수(계절조정)","104"
"2021.01","생산능력지수","102.7"
"","가동률지수(원지수)","100.7"
"","가동률지수(계절조정)","103.5"
"2021.02","생산능력지수","102.1"
"","가동률지수(원지수)","93.1"
"","가동률지수(계절조정)","106.5"
"2021.03","생산능력지수","102.1"
"","가동률지수(원지수)","109.5"
"","가동률지수(계절조정)","105"
"2021.04","생산능력지수","101.9"
"","가동률지수(원지수)","104.6"
"","가동률지수(계절조정)","103.5"
"2021.05","생산능력지수","101.7"
"","가동률지수(원지수)","103.1"
"","가동률지수(계절조정)","102.6"
"2021.06","생산능력지수","101.8"
"","가동률지수(원지수)","108.7"
"","가동률지수(계절조정)","103.5"
"2021.07","생산능력지수","101.6"
"","가동률지수(원지수)","107.9"
"","가동률지수(계절조정)","106"
"2021.08","생산능력지수","101.8"
