region,month,indicator,value
전남,2020-12-01,원자재가격전망,106.0
전북,2020-12-01,원자재가격전망,109.0
충남,2020-12-01,원자재가격전망,103.0
충북,2020-12-01,원자재가격전망,105.0
전국,2020-12-01,제품가격현황,100.0
서울,2020-12-01,제품가격현황,100.0
부산,2020-12-01,제품가격현황,102.0
대구,2020-12-01,제품가격현황,94.0
인천,2020-12-01,제품가격현황,103.0
광주,2020-12-01,제품가격현황,96.0
대전,2020-12-01,제품가격현황,105.0
울산,2020-12-01,제품가격현황,106.0
강원,2020-12-01,제품가격현황,97.0
경기,2020-12-01,제품가격현황,100.0
경남,2020-12-01,제품가격현황,97.0
경북,2020-12-01,제품가격현황,98.0
전남,2020-12-01,제품가격현황,101.0
전북,2020-12-01,제품가격현황,104.0
충남,2020-12-01,제품가격현황,100.0
충북,2020-12-01,제품가격현황,96.0
전국,2020-12-01,제품가격전망,98.0
서울,2020-12-01,제품가격전망,99.0
부산,2020-12-01,제품가격전망,98.0
대구,2020-12-01,제품가격전망,96.0
인천,2020-12-01,제품가격전망,93.0
광주,2020-12-01,제품가격전망,100.0
대전,2020-12-01,제품가격전망,102.0
울산,2020-12-01,제품가격전망,102.0
강원,2020-12-01,제품가격전망,95.0
경기,2020-12-01,제품가격전망,96.0
경남,2020-12-01,제품가격전망,98.0
경북,2020-12-01,제품가격전망,98.0
전남,2020-12-01,제품가격전망,97.0
전북,2020-12-01,제품가격전망,99.0
충남,2020-12-01,제품가격전망,100.0
충북,2020-12-01,제품가격전망,100.0
전국,2020-12-01,경상이익현황,89.0
서울,2020-12-01,경상이익현황,85.0
부산,2020-12-01,경상이익현황,96.0
대구,2020-12-01,경상이익현황,72.0
인천,2020-12-01,경상이익현황,93.0
광주,2020-12-01,경상이익현황,99.0
대전,2020-12-01,경상이익현황,105.0
울산,2020-12-01,경상이익현황,98.0
강원,2020-12-01,경상이익현황,112.0
경기,2020-12-01,경상이익현황,85.0
경남,2020-12-01,경상이익현황,84.0
경북,2020-12-01,경상이익현황,87.0
전남,2020-12-01,경상이익현황,90.0
전북,2020-12-01,경상이익현황,88.0
충남,2020-12-01,경상이익현황,93.0
충북,2020-12-01,경상이익현황,85.0
전국,2020-12-01,경상이익전망,88.0
서울,2020-12-01,경상이익전망,81.0
부산,2020-12-01,경상이익전망,91.0
대구,2020-12-01,경상이익전망,79.0
인천,2020-12-01,경상이익전망,88.0
광주,2020-12-01,경상이익전망,96.0
대전,2020-12-01,경상이익전망,85.0
울산,2020-12-01,경상이익전망,96.0
강원,2020-12-01,경상이익전망,98.0
경기,2020-12-01,경상이익전망,85.0
경남,2020-12-01,경상이익전망,87.0
경북,2020-12-01,경상이익전망,91.0
전남,2020-12-01,경상이익전망,80.0
전북,2020-12-01,경상이익전망,91.0
충남,2020-12-01,경상이익전망,95.0
충북,2020-12-01,경상이익전망,93.0
전국,2020-12-01,자금사정현황,88.0
서울,2020-12-01,자금사정현황,82.0
부산,2020-12-01,자금사정현황,84.0
대구,2020-12-01,자금사정현황,70.0
인천,2020-12-01,자금사정현황,88.0
광주,2020-12-01,자금사정현황,93.0
대전,2020-12-01,자금사정현황,104.0
울산,2020-12-01,자금사정현황,92.0
강원,2020-12-01,자금사정현황,103.0
경기,2020-12-01,자금사정현황,85.0
경남,2020-12-01,자금사정현황,84.0
